entry_id,kind,competition,rank,author,source_confidence,source_folder,c01_te_basic,c02_te_within_fold,c03_te_multi_aggs,c04_te_alt_targets,c05_count_encoding,c06_frequency_encoding,c07_missing_indicator,c08_log_transform,c09_power_polynomial,c10_binning,c11_digit_features,c12_rounding_multi,c13_pairwise_mult,c14_pairwise_add,c15_threshold_flags,c16_brute_force,c17_higher_order_combos,c18_numerics_as_cats,c19_groupby_basic,c20_groupby_count_nunique,c21_groupby_quantiles,c22_groupby_histogram,c23_groupby_zscores,c24_groupby_skew,c25_groupby_division,c26_rowwise_stats,c27_domain_binary_flags,c28_domain_ratios,c29_domain_ordinal,c30_datetime_decomp,c31_cyclical_encoding,c32_orig_target_mean,c33_orig_target_advanced,c34_exact_key_match,c35_approx_neighbor,c36_drift_features,c37_distribution_anomaly,c38_autoencoder_latents,c39_pca_svd,c40_random_projection,c41_genetic_programming,c42_tfidf,c43_char_string_pattern,c44_lasso_generator_recovery,c45_pseudo_labels,c46_residual_features,c47_outlier_aux_classifier,c48_permutation_importance,c49_sfs_backward,c50_correlation_constant,c51_minimal_no_fe,c52_adversarial_validation_fe,c53_forked_base_uncatalogued,n_fe_techniques_used,recoder_notes
B01,winner,tabular-playground-series-feb-2022,1,,notebook+writeup,data/writeups/tabular-playground-series-feb-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B02,winner,playground-series-s3e8,2,,writeup+notes,data/writeups/playground-series-s3e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B03,control,playground-series-s4e10,10,adaubas,notebook+writeup,data/writeups/playground-series-s4e10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B04,winner,playground-series-s4e11,1,,notes-only,data/writeups/playground-series-s4e11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B05,winner,playground-series-s4e4,1,,notebook+writeup,data/writeups/playground-series-s4e4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B06,winner,playground-series-s4e9,1,,notebook+writeup,data/writeups/playground-series-s4e9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07,winner,playground-series-s5e3,2,,writeup+notes,data/writeups/playground-series-s5e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08,winner,playground-series-s5e7,2,,notebook+writeup,data/writeups/playground-series-s5e7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09,control,playground-series-s5e8,15,tilii7,notebook+writeup,data/writeups/playground-series-s5e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B10,control,playground-series-s6e2,15,emreduman05,notebook+writeup,data/writeups/playground-series-s6e2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B11,control,playground-series-s6e3,16,mhamza0810,notebook+writeup,data/writeups/playground-series-s6e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B12,winner,playground-series-s6e4,1,,notebook+writeup,data/writeups/playground-series-s6e4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
